[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Info.sBYVQ-Xp.js → 200 (61ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Search.CROXAWIy.js → 200 (65ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Input_module.b9035fca.BG3lpI8M.js → 200 (65ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/index.BMbYzd_o.js → 200 (63ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/X.ByonTvBs.js → 200 (35ms, 422B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/SelectControl_module.545322aa.DN2ELdzA.js → 200 (61ms, ?B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/Select_module.fd0f81d2.BR50SnhQ.js → 200 (45ms, 775B)
[2026-04-01T02:41:42.776Z] GET https://developers.openai.com/_astro/CodeSample_module.04ca01ca.C9UFpFgw.js → 200 (78ms, ?B)
[2026-04-01T02:41:42.782Z] GET https://developers.openai.com/_astro/index.Dl3BFvA9.js → 200 (59ms, ?B)
[2026-04-01T02:41:42.818Z] GET https://developers.openai.com/_astro/DocsStatic.686d67af.B56803di.js → 200 (36ms, ?B)
[2026-04-01T02:41:42.836Z] GET https://platform.openai.com/docs/guides/realtime → 301 (83ms, ?B)
[2026-04-01T02:41:42.842Z] GET https://developers.openai.com/_vercel/insights/script.js → 200 (33ms, ?B)
[2026-04-01T02:41:42.874Z] GET https://developers.openai.com/_astro/_slug_.f9d06c89.DLSi4z53.js → 200 (33ms, ?B)
[2026-04-01T02:41:42.874Z] GET https://developers.openai.com/_astro/index.CX4P5aiS.js → 200 (34ms, ?B)
[2026-04-01T02:41:42.874Z] GET https://developers.openai.com/_astro/PageCopyButton.BlnlrYBo.js → 200 (45ms, ?B)
[2026-04-01T02:41:42.875Z] GET https://developers.openai.com/_astro/CopyButton.guiIVyNP.js → 200 (24ms, ?B)
[2026-04-01T02:41:42.920Z] GET https://developers.openai.com/api/docs/guides/realtime → 200 (40ms, 342737B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/fonts/OpenAISans-Regular.woff → 304 (34ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/fonts/OpenAISans-Bold.woff → 304 (42ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/js/theme.js → 304 (150ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/js/scroll.js → 304 (29ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/js/animate.js → 304 (32ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/js/copy.js → 304 (138ms, ?B)
[2026-04-01T02:41:42.966Z] GET https://developers.openai.com/_astro/DocsStatic.D3ZOwsEN.css → 200 (1ms, 63687B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/index.CJJaj6dv.css → 200 (?ms, 226127B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/DocsStatic.D_0mfV_c.css → 200 (?ms, 17159B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/_slug_.DxGC2Xm7.css → 200 (?ms, 6883B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/Input_module.CVLIjBsO.css → 200 (?ms, 7801B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/Select_module.BbK6_0fC.css → 200 (?ms, 5688B)
[2026-04-01T02:41:42.967Z] GET https://developers.openai.com/_astro/Button_module.DQKpqWWq.css → 200 (1ms, 26309B)
[2026-04-01T02:41:42.968Z] GET https://developers.openai.com/_astro/SelectControl_module.Cr3im3G9.css → 200 (?ms, 15816B)
[2026-04-01T02:41:42.968Z] GET https://developers.openai.com/_astro/page.B7cGKP-K.js → 200 (1ms, 2278B)
[2026-04-01T02:41:42.969Z] GET https://developers.openai.com/OpenAI_Developers.svg → 304 (31ms, ?B)
[2026-04-01T02:41:43.128Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Regular.woff2 → 200 (1ms, ?B)
[2026-04-01T02:41:43.129Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Medium.woff2 → 200 (?ms, ?B)
[2026-04-01T02:41:43.129Z] GET https://cdn.openai.com/common/fonts/openai-sans/v2/OpenAISans-Semibold.woff2 → 200 (?ms, ?B)
[2026-04-01T02:41:43.131Z] GET https://developers.openai.com/_astro/client.B9YBqyHK.js → 200 (?ms, 27B)
[2026-04-01T02:41:43.134Z] GET https://developers.openai.com/_astro/Expander.react.BMXmy6xr.js → 200 (?ms, 997B)
[2026-04-01T02:41:43.135Z] GET https://developers.openai.com/_astro/client.oTle_bpR.js → 200 (?ms, 182736B)
[2026-04-01T02:41:43.135Z] GET https://developers.openai.com/_astro/index.react.BO_iZOXs.js → 200 (?ms, 1267B)
[2026-04-01T02:41:43.135Z] GET https://developers.openai.com/_astro/Analytics.WkqLF1aY.js → 200 (?ms, 140B)
[2026-04-01T02:41:43.135Z] GET https://developers.openai.com/_astro/client.Btr3teR5.js → 200 (?ms, 5645B)
[2026-04-01T02:41:43.144Z] GET https://developers.openai.com/_astro/jsx-runtime.D_zvdyIk.js → 200 (?ms, 725B)
[2026-04-01T02:41:43.144Z] GET https://developers.openai.com/_astro/index.CkLFK4iY.js → 200 (?ms, 8989B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/clsx.B-dksMZM.js → 200 (?ms, 374B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/ChevronRight.DQjEpLv2.js → 200 (?ms, 346B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/ChevronUp.B3wC7Hsg.js → 200 (?ms, 341B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/index.Cdm1hFOx.js → 200 (?ms, 3892B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/CodeSample.react.BVItYUuO.js → 200 (?ms, 17764B)
[2026-04-01T02:41:43.145Z] GET https://developers.openai.com/_astro/light.FFgmsGMc.js → 200 (?ms, 63531B)
[2026-04-01T02:41:43.146Z] GET https://developers.openai.com/_astro/navigation.react.CRDlrcdx.js → 200 (?ms, 867B)
[2026-04-01T02:41:43.146Z] GET https://developers.openai.com/_astro/local-storage.react.BjTSZ15M.js → 200 (?ms, 8348B)
[2026-04-01T02:41:43.146Z] GET https://developers.openai.com/_astro/analytics.react.CzoF-dFn.js → 200 (?ms, 293B)
[2026-04-01T02:41:43.146Z] GET https://developers.openai.com/_astro/theme.react.N_Syy88u.js → 200 (?ms, 5001B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/index.Bpl28ImD.js → 200 (?ms, 6917B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/index.DPsXEcnh.js → 200 (?ms, 126B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/Tooltip.B07_xgih.js → 200 (?ms, 43402B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/index.s2011tuY.js → 200 (?ms, 4413B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/Tooltip_module.27c5dae5.DGt3qC0D.js → 200 (?ms, 107B)
[2026-04-01T02:41:43.147Z] GET https://developers.openai.com/_astro/CopyButton.Cg7Eq_rr.js → 200 (?ms, 1845B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/Check.j5zoCyTM.js → 200 (?ms, 363B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/Animate.BHRYq1rv.js → 200 (?ms, 5017B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/Button.BPTtDE2y.js → 200 (?ms, 7285B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/LoadingIndicator_module.401f3a04.DFezfhvs.js → 200 (?ms, 75B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/index.Bf2qc8Rt.js → 200 (?ms, 107B)
[2026-04-01T02:41:43.148Z] GET https://developers.openai.com/_astro/TransitionGroup_module.7d932e42.BrueaoB8.js → 200 (?ms, 83B)
[2026-04-01T02:41:43.149Z] GET https://developers.openai.com/_astro/Button_module.1342c311.CD0k7XoG.js → 200 (?ms, 137B)
[2026-04-01T02:41:43.149Z] GET https://developers.openai.com/_astro/Animate_module.dcc9badb.BeVBpRtu.js → 200 (?ms, 71B)
[2026-04-01T02:41:43.149Z] GET https://developers.openai.com/_astro/Select.LqVEKv9a.js → 200 (1ms, 23037B)
[2026-04-01T02:41:43.150Z] GET https://developers.openai.com/_astro/Info.sBYVQ-Xp.js → 200 (?ms, 448B)
[2026-04-01T02:41:43.150Z] GET https://developers.openai.com/_astro/Search.CROXAWIy.js → 200 (?ms, 746B)
[2026-04-01T02:41:43.150Z] GET https://developers.openai.com/_astro/Input_module.b9035fca.BG3lpI8M.js → 200 (?ms, 90B)
[2026-04-01T02:41:43.150Z] GET https://developers.openai.com/_astro/index.BMbYzd_o.js → 200 (?ms, 17147B)
[2026-04-01T02:41:43.150Z] GET https://developers.openai.com/_astro/X.ByonTvBs.js → 200 (?ms, 422B)
[2026-04-01T02:41:43.151Z] GET https://developers.openai.com/_astro/SelectControl_module.545322aa.DN2ELdzA.js → 200 (?ms, 378B)
[2026-04-01T02:41:43.151Z] GET https://developers.openai.com/_astro/Select_module.fd0f81d2.BR50SnhQ.js → 200 (?ms, 775B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_astro/CodeSample_module.04ca01ca.C9UFpFgw.js → 200 (?ms, 419B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_astro/solid.BBxy7wP1.js → 200 (?ms, 9559B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_astro/index.Dl3BFvA9.js → 200 (?ms, 2316B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_astro/web.Bx7RYub3.js → 200 (?ms, 9167B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_vercel/speed-insights/script.js → 200 (?ms, 12567B)
[2026-04-01T02:41:43.152Z] GET https://developers.openai.com/_astro/AlgoliaSearch.DT12e7SL.js → 200 (1ms, 25965B)
[2026-04-01T02:41:43.153Z] GET https://developers.openai.com/_astro/TableOfContents.Cvzj2p1P.js → 200 (?ms, 3581B)
[2026-04-01T02:41:43.153Z] GET https://developers.openai.com/_astro/PageActions.CNEqCLeM.js → 200 (?ms, 28523B)
[2026-04-01T02:41:43.155Z] GET https://developers.openai.com/_vercel/insights/script.js → 200 (?ms, 2495B)
[2026-04-01T02:41:43.155Z] GET https://developers.openai.com/_astro/DocsStatic.686d67af.B56803di.js → 200 (?ms, 452B)
[2026-04-01T02:41:43.155Z] GET https://developers.openai.com/_astro/_slug_.f9d06c89.DLSi4z53.js → 200 (?ms, 665B)
[2026-04-01T02:41:43.155Z] GET https://developers.openai.com/_astro/index.CX4P5aiS.js → 200 (?ms, 4719B)
[2026-04-01T02:41:43.155Z] GET https://developers.openai.com/_astro/PageCopyButton.BlnlrYBo.js → 200 (?ms, 2017B)
[2026-04-01T02:41:43.156Z] GET https://developers.openai.com/_astro/CopyButton.guiIVyNP.js → 200 (?ms, 2107B)
